QID,ProductID,Component,Role,RoleName,Level,OnboardingPhase,QuestionType,Question,WhyItMatters,AnswerSource,AnswerStatus,BlocksWork,ParentQID,FollowUps,SampleAnswerShape,AskedTo,AnsweredBy,AnswerDate,DocLink,Confidence
QTU0088,D01,AI SME Chatbot (learner),AIG,AI Generalist,L4 Architect,Quarter 1,Emergent,Should the learner chatbot cite a source the learner is not cleared to open?,"Citing an inaccessible source either discloses the existence of restricted material or leaves the learner with an unverifiable claim, and both undermine the grounding promise the product is sold on.",None - undocumented; Security Architect; Product Manager,Undocumented — no answer exists,AIA-07.x citation and grounding requirements,QTU0087,Should retrieval exclude restricted material entirely? / What does the learner see instead of the citation? / Does this differ per tenant?,"Chooses between excluding the source from retrieval and citing without access, and justifies it",,,,,
QST0107,D01,AI SME Chatbot (learner),SUP,Support & Service Engineer,L1 Junior,Day 1,Orientation,Which of the three chatbots is a learner most likely to mean when they say the assistant gave a wrong answer?,Routing a chatbot ticket to the wrong owning team costs a day and the learner keeps receiving the wrong answer meanwhile.,"Product Plan v2 (M15, M23, M26)",Partially documented,E09 ticket routing by module,-,How do I tell them apart from a screenshot? / Do they share an index? / Who owns each?,Distinguishes the three by audience and names the owning team for each,,,,,
QST0124,D01,AI SME Chatbot (learner),SUP,Support & Service Engineer,L2 Mid,Month 1,Mechanism,How do you confirm that a chatbot answer was drawn from a superseded document rather than being simply wrong?,Misdiagnosing a retrieval-currency failure as a model quality failure sends the fix to the wrong team entirely.,Architecture Review Report §D-M25 (Scenario 4); §I.7,Partially documented,D01 citation and index version recording,-,Are citations shown? / Is the index version recorded on the answer? / Can support replay the query?,Uses the recorded citation and index version to identify the source revision,,,,,
QST0125,D01,AI SME Chatbot (learner),SUP,Support & Service Engineer,L2 Mid,Month 1,Failure mode,What do you do when the assistant refuses a question the customer considers entirely legitimate?,Over-refusal looks like a broken product to the customer and there is no defined route to distinguish it from correct caution.,Architecture Review Report §I.1; Master Checklist v3 (TST-11.1.04),Partially documented,D01 refusal calibration and false-refusal budget,-,Is there a false-refusal budget? / Where is the probe set? / Who tunes it?,Distinguishes correct refusal from over-refusal using the evaluation set,,,,,
QST0142,D01,AI SME Chatbot (learner),SUP,Support & Service Engineer,L2 Mid,Month 1,Emergent,"If an answer records its index version, how does support find out which document revision that index was built from?",Without the revision link the citation proves nothing and the supersession investigation stalls at the first step.,Architecture Review Report §I.7 item 5,Undocumented — no answer exists,D10 content lineage record,QST0124,Is lineage queryable? / Is it per site? / Who maintains it?,Traces index version to source revision through a lineage record,,,,,
QST0155,D01,AI SME Chatbot (learner),SUP,Support & Service Engineer,L3 Senior,Quarter 1,Ethics/Validity,"When the assistant cites a superseded procedure at a site that has not yet received the tombstone, who is accountable?",The accountability gap in the propagation window is the question a customer asks after somebody follows the old procedure.,Architecture Review Report §D-M25 (Scenario 4),Undocumented — no answer exists,D10 supersession propagation SLA,-,What is the propagation SLA? / What does the learner see meanwhile? / Is the window disclosed?,"Names the propagation window, its disclosure and the accountable role",,,,,
QST0177,D01,AI SME Chatbot (learner),SUP,Support & Service Engineer,L4 Architect,Quarter 1,Trade-off,Should the retrieval assistant be offered to support engineers as a first-line diagnostic tool?,An assistant that confidently gives a support engineer a wrong procedure turns a single incident into a customer-facing error.,Architecture Review Report §I.1,Undocumented — no answer exists,E09 internal knowledge tooling,-,What corpus would it use? / What is its refusal behaviour? / Is its output logged?,Weighs speed gains against the cost of a confidently wrong internal answer,,,,,
QAI0003,D01,SME Chatbot (learner),AI,AI/ML Engineer,L1 Junior,Day 1,Orientation,Where does the learner chatbot's model inference physically run in an enclave deployment of EdVidura?,An engineer who assumes a hosted API is reachable will build a code path that cannot exist in a zero-egress site and fails acceptance.,Architecture Review Report SS Q.3; Master Checklist v3 (AIA-03.1.01),Partially documented,AIA-12.1.05 zero-egress install of M26,-,Which model is approved for that enclave? / Who approves it?,"Names the shared local inference service, the GPU appliance, and the absence of any hosted fallback",,,,,
QAI0009,D01,SME Chatbot (learner),AI,AI/ML Engineer,L2 Mid,Month 1,Data,"How does an answer record capture which model, prompt and index version produced it?","Without the version block, a wrong answer six months later cannot be attributed to a model, so nothing can be regression-tested or rolled back.","Master Checklist v3 (AIA-08.1.02, AIA-09.1.06)",Partially documented,AIA-09.1.06 chat audit trail,-,Is the weights hash recorded? / How long is the record retained?,"Names the fields, where they are stored, and the query that reconstructs an answer",,,,,
QAI0015,D01,SME Chatbot (learner),AI,AI/ML Engineer,L3 Senior,Quarter 1,Performance/Scale,What is the blast radius when the shared inference service saturates during a class-wide chatbot session in an enclave?,"With no hosted relief valve, every AI feature in the site fails at the moment of peak instructional use and adoption does not recover.",Architecture Review Report Scenario 11; Master Checklist v3 (AIA-03.1.03),Partially documented,AIA-03.2.04 Scenario 11 acceptance test,-,Which priority class loses first? / What does the learner see while queued?,"Names the priority classes, the degraded modes, and which features stop entirely",,,,,
